0,1,2,3,4
690,426,954,1218,162
691,955,427,1219,163
692,428,956,153,417
693,957,429,1221,165
694,958,430,3310,3392
695,959,431,3895,3393
696,960,432,3336,1224
697,961,433,10722,10818
698,962,434,3338,3612
699,435,963,171,1227
700,436,964,1206,172
701,965,437,1229,173
702,438,966,174,1230
703,439,967,1231,175
704,968,440,176,1232
705,969,441,1233,177
706,442,970,408,144
707,673,971,443,1005
708,972,444,4246,1833
709,973,445,1237,181
710,974,446,182,1238
711,975,447,1446,1239
712,976,448,1713,1447
713,977,449,1241,185
714,450,978,186,1242
715,979,451,187,1243
716,452,980,2629,2363
717,453,981,2069,1803
718,982,454,1804,93
719,983,455,1247,191
720,984,456,192,1248
721,457,985,193,1249
722,986,458,1250,194
723,459,987,482,218
724,988,460,1491,1757
725,989,461,1146,1242
726,462,990,2292,2558
727,463,991,1509,1775
728,992,464,1256,200
729,465,993,1974,2240
730,2029,2295,2254,994
731,2296,2030,2562,995
732,996,468,2003,1806
733,997,469,159,423
734,470,998,1262,206
735,471,999,1263,207
736,1000,472,208,1264
737,473,1001,1265,209
738,1002,474,1266,210
739,475,1003,1817,1536
740,476,1004,212,1268
741,753,1017,1005,477
742,478,1006,754,490
743,1007,479,1271,215
744,480,1008,710,974
745,481,1009,1273,217
746,482,1010,987,723
747,1011,483,1275,219
748,1012,484,220,1276
749,485,1013,1828,1562
750,1014,486,222,1278
751,1015,487,223,1279
752,488,1016,1280,224
753,741,1017,489,477
754,490,1018,742,478
755,1019,491,2739,3013
756,1020,492,228,1284
757,1021,493,2102,3705
758,926,1190,494,1022
759,1023,495,663,231
760,1024,496,232,1288
761,497,1025,233,1289
762,498,1026,234,1290
763,499,1027,115,1209
764,1028,500,1210,946
765,501,1029,237,1293
766,3585,3324,3298,3346
767,1031,503,3312,3586
768,1032,504,1296,240
769,1033,505,1297,241
770,1034,506,3682,3408
771,1035,507,651,915
772,1036,508,244,1300
773,1037,509,245,1301
774,1038,510,1302,246
775,1039,511,1303,247
776,1040,512,1304,248
777,513,1041,249,1305
778,1042,514,1306,250
779,515,1043,251,1307
780,1044,516,252,1308
781,517,1045,1309,253
782,518,1046,254,1310
783,519,1047,1311,255
784,1048,520,256,1312
785,521,1049,1313,257
786,1050,522,258,1314
787,1051,523,1315,259
788,524,1052,260,1316
789,1053,525,1317,261
790,526,1054,262,1318
791,1055,527,263,1319
792,1056,528,264,0
793,1057,529,265,0
794,1058,530,266,2
795,531,1059,267,3
796,1060,532,268,4
797,533,1061,269,5
798,1062,534,270,6
799,535,1063,271,7
800,536,1064,7,271
801,1065,537,273,1064
802,1066,538,274,10
803,539,1067,275,11
804,1068,540,6655,1864
805,541,1069,277,2397
806,1070,542,6657,6961
807,543,1071,2399,2133
808,1072,544,280,2400
809,545,1073,281,3491
810,546,1074,282,3769
811,547,1075,283,19
812,1076,548,284,20
813,549,1077,285,284
814,1078,550,286,22
815,551,1079,287,23
816,552,1080,288,3773
817,553,1081,289,25
818,1082,554,290,26
819,1083,555,291,27
820,556,1084,27,291
821,557,1085,293,292
822,1086,558,294,30
823,559,1087,295,31
824,1088,560,296,32
825,1089,561,297,33
826,1090,562,298,34
827,1091,563,299,35
828,1092,564,300,36
829,1093,565,301,37
830,1094,566,302,38
831,1095,567,303,39
832,1096,568,304,40
833,569,1097,305,41
834,570,1098,306,42
835,1099,571,307,43
836,572,1100,308,44
837,573,1101,309,45
838,1102,574,310,1371
839,575,1103,311,1905
840,576,1104,312,1906
841,577,1105,313,4193
842,1106,578,314,4230
843,1107,579,315,51
844,1108,580,51,315
845,581,1109,317,53
846,1110,582,318,4853
847,1111,583,319,55
848,584,1112,320,2504
849,585,1113,321,57
850,1114,586,322,58
851,1115,587,323,58
852,588,1116,324,60
853,1117,589,325,61
854,1118,590,326,62
855,1119,591,327,63
856,1120,592,328,64
857,1121,593,329,65
858,1122,594,65,330
859,595,1123,66,331
860,596,1124,67,331
861,1125,597,2040,1774
862,598,1126,334,70
863,1127,599,5430,5454
864,1128,600,336,4857
865,601,1129,5612,5778
866,602,1130,3575,3301
867,603,1131,3282,3556
868,604,1132,340,5425
869,605,1133,341,77
870,606,1134,342,5427
871,607,1135,343,79
872,608,1136,344,80
873,621,1137,609,357
874,1138,610,635,14276
875,611,1139,347,83
876,612,1140,348,84
877,613,1141,349,85
878,614,1142,350,86
879,1143,615,3351,3625
880,1144,616,3352,3626
881,617,1145,353,196
882,1146,618,978,1242
883,1147,619,715,451
884,1148,620,356,92
885,1137,898,4532,1149
886,1150,622,358,1696
887,623,1151,359,95
888,1152,624,360,96
889,1153,625,361,97
890,626,1154,362,98
891,627,1155,363,99
892,1156,628,364,4226
893,1157,629,365,880
894,630,1158,366,881
895,631,1159,367,618
896,1160,632,368,1972
897,1161,633,672,408
898,634,1162,885,937
899,1163,635,371,874
900,636,1164,372,875
901,1165,637,373,109
902,638,1166,374,110
903,639,1167,375,4652
904,640,1168,376,112
905,1169,641,377,113
906,1170,642,378,114
907,643,1171,379,1291
908,644,1172,177,441
909,645,1173,381,117
910,1137,621,885,873
911,647,1175,886,622
912,1176,648,384,5654
913,649,1177,385,5987
914,650,1178,3968,3589
915,651,1179,387,3626
916,1180,652,388,124
917,1181,653,389,2261
918,654,1182,390,3903
919,655,1183,391,3630
920,1184,656,4831,5130
921,657,1185,393,886
922,658,1186,394,130
923,659,1187,395,131
924,1188,660,396,132
925,661,1189,397,229
926,758,1190,662,494
927,1191,663,1023,399
928,1192,664,1288,400
929,1193,665,401,1277
930,1194,666,402,138
931,1195,667,403,139
932,1196,668,404,140
933,1197,669,405,141
934,670,1198,406,142
935,671,1199,407,143
936,1200,672,1161,1211
937,971,885,898,2588
938,674,1202,1976,2242
939,1203,675,411,2509
940,1204,676,2244,1978
941,1205,677,976,1979
942,1206,678,414,150
943,1207,679,415,2514
944,680,1208,416,498
945,1209,681,417,763
946,682,1210,418,154
947,683,1211,408,633
948,885,1269,937,1137
949,685,1213,938,1202
950,686,1214,2604,2338
951,687,1215,2605,1261
952,688,1216,424,160
953,1217,689,425,161
954,1218,690,426,162
955,691,1219,427,208
956,692,1220,428,417
957,693,1221,429,3035
958,694,1222,3392,3584
959,695,1223,3667,3585
960,696,1224,4783,432
961,697,1225,10818,3418
962,1226,698,3612,3338
963,1227,699,435,3443
964,700,1228,436,1206
965,1229,701,437,2514
966,1230,702,438,2249
967,1231,703,439,175
968,704,1232,440,176
969,1233,705,441,177
970,706,1234,408,633
971,937,707,1235,1269
972,708,1236,4545,1833
973,1237,709,445,479
974,710,1238,446,744
975,711,1239,1446,1712
976,712,1240,1979,941
977,713,1241,449,2064
978,714,1242,450,186
979,1243,715,451,2585
980,1244,716,2027,2293
981,1245,717,2335,2601
982,1246,718,2323,2070
983,719,1247,455,191
984,720,1248,456,1513
985,1249,721,457,2354
986,722,1250,458,2635
987,723,1251,746,482
988,724,1252,460,1275
989,725,1253,1146,461
990,1254,726,715,462
991,727,1255,463,2334
992,728,1256,464,200
993,13426,13536,1257,729
994,730,1258,2520,2295
995,2562,731,1259,2296
996,732,1260,2269,2003
997,733,1261,423,687
998,1262,734,470,688
999,1263,735,471,207
1000,1264,736,472,208
1001,1265,737,473,209
1002,738,1266,474,210
1003,1267,739,1817,1536
1004,1268,740,1496,476
1005,1017,1281,707,1269
1006,1270,742,1018,754
1007,743,1271,479,215
1008,744,1272,974,1238
1009,745,1273,481,1780
1010,1274,746,1251,987
1011,1275,747,483,724
1012,748,1276,484,220
1013,749,1277,2360,2094
1014,1278,750,486,222
1015,751,1279,487,223
1016,1280,752,488,224
1017,1005,741,1281,753
1018,1282,754,1006,742
1019,755,1283,3013,2739
1020,1284,756,492,2633
1021,1285,757,3979,3705
1022,1190,1286,758,926
1023,759,1287,927,1191
1024,760,1288,496,232
1025,761,1289,497,2235
1026,1290,762,498,114
1027,1291,763,379,115
1028,1292,764,1210,946
1029,765,1293,501,237
1030,3598,3859,3572,766
1031,1295,767,3860,3586
1032,1296,768,504,1498
1033,769,1297,505,1226
1034,1298,770,3956,1178
1035,1299,771,915,507
1036,772,1300,508,244
1037,773,1301,509,245
1038,1302,774,510,246
1039,1303,775,511,2541
1040,776,1304,512,248
1041,1305,777,513,249
1042,778,1306,514,250
1043,1307,779,515,251
1044,1308,780,516,252
1045,781,1309,517,253
1046,1310,782,518,254
1047,783,1311,519,255
1048,784,1312,520,256
1049,1313,785,521,257
1050,1314,786,522,258
1051,787,1315,523,259
1052,1316,788,524,260
1053,789,1317,525,261
1054,1318,790,526,262
1055,791,1319,527,263
1056,792,528,264,0
1057,793,0,529,264
1058,794,530,266,2
1059,795,531,267,3
1060,796,532,268,4
1061,797,533,269,532
1062,798,534,269,270
1063,799,535,271,7
1064,800,536,7,271
1065,801,537,1064,273
1066,802,538,274,10
1067,803,539,275,1331
1068,804,540,2130,6959
1069,805,541,2397,277
1070,806,7265,7569,6961
1071,807,543,2399,5584
1072,808,544,2400,2134
1073,809,545,3765,281
1074,810,546,17,281
1075,811,547,283,19
1076,812,548,284,19
1077,813,549,284,548
1078,814,550,286,22
